城市,riskScore,riskLevel,maxAQI24h,meanAQI24h,exceedHours,severeHours
三沙,24.0,较低风险,70.7,70.6,0,0
儋州,23.7,较低风险,69.8,69.7,0,0
阳江,23.7,较低风险,69.7,69.5,0,0
海口,23.7,较低风险,69.8,69.7,0,0
北海,23.4,较低风险,68.9,68.7,0,0
三亚,23.3,较低风险,68.5,68.4,0,0
茂名,23.1,较低风险,68.0,67.9,0,0
防城港,23.1,较低风险,68.1,68.0,0,0
梧州,23.0,较低风险,67.7,67.6,0,0
广州,22.9,较低风险,67.4,67.1,0,0
黔西南布依族苗族自治州,22.9,较低风险,67.3,67.2,0,0
深圳,22.9,较低风险,67.7,67.1,0,0
梅州,22.9,较低风险,67.5,67.5,0,0
湛江,22.9,较低风险,67.5,67.5,0,0
崇左,22.8,较低风险,67.2,67.1,0,0
南宁,22.8,较低风险,67.2,67.1,0,0
玉林,22.8,较低风险,67.2,66.9,0,0
云浮,22.8,较低风险,67.2,67.1,0,0
钦州,22.8,较低风险,67.2,67.1,0,0
红河哈尼族彝族自治州,22.8,较低风险,67.2,67.0,0,0
西双版纳傣族自治州,22.8,较低风险,67.1,66.9,0,0
惠州,22.8,较低风险,67.2,67.0,0,0
佛山,22.8,较低风险,67.1,67.0,0,0
江门,22.8,较低风险,67.0,66.9,0,0
汕尾,22.8,较低风险,67.1,67.0,0,0
普洱,22.8,较低风险,67.0,66.9,0,0
东莞,22.8,较低风险,67.2,67.0,0,0
中山,22.8,较低风险,67.1,66.9,0,0
大理白族自治州,22.7,较低风险,66.8,66.4,0,0
来宾,22.6,较低风险,66.5,66.2,0,0
清远,22.6,较低风险,66.4,66.2,0,0
韶关,22.6,较低风险,66.5,66.4,0,0
百色,22.5,较低风险,66.1,66.0,0,0
临沧,22.5,较低风险,66.3,66.2,0,0
河源,22.5,较低风险,66.1,66.0,0,0
汕头,22.5,较低风险,66.3,66.2,0,0
贺州,22.5,较低风险,66.1,66.0,0,0
贵港,22.5,较低风险,66.1,66.0,0,0
珠海,22.4,较低风险,66.0,65.9,0,0
肇庆,22.4,较低风险,65.9,65.8,0,0
厦门,22.4,较低风险,65.9,65.9,0,0
柳州,22.4,较低风险,65.9,65.9,0,0
文山壮族苗族自治州,22.4,较低风险,65.8,65.7,0,0
德宏傣族景颇族自治州,22.3,较低风险,65.6,65.6,0,0
潮州,22.3,较低风险,65.7,65.7,0,0
莆田,22.3,较低风险,65.7,65.5,0,0
玉溪,22.3,较低风险,65.6,65.6,0,0
泉州,22.3,较低风险,65.6,65.5,0,0
楚雄彝族自治州,22.3,较低风险,65.7,65.5,0,0
龙岩,22.2,较低风险,65.3,65.2,0,0
河池,22.2,较低风险,65.3,65.2,0,0
揭阳,22.1,较低风险,65.0,64.9,0,0
桂林,22.0,较低风险,64.7,64.5,0,0
昆明,22.0,较低风险,64.6,64.5,0,0
黔南布依族苗族自治州,22.0,较低风险,64.7,64.6,0,0
曲靖,21.9,较低风险,64.5,64.4,0,0
郴州,21.9,较低风险,64.4,64.4,0,0
温州,21.8,较低风险,64.0,63.9,0,0
三明,21.7,较低风险,63.9,63.8,0,0
贵阳,21.7,较低风险,63.7,63.7,0,0
衡阳,21.7,较低风险,63.8,63.7,0,0
永州,21.7,较低风险,64.0,63.9,0,0
福州,21.7,较低风险,63.9,63.9,0,0
漳州,21.7,较低风险,63.8,63.8,0,0
保山,21.7,较低风险,63.9,63.7,0,0
安顺,21.7,较低风险,63.9,63.9,0,0
六盘水,21.6,较低风险,63.4,63.4,0,0
宁德,21.6,较低风险,63.4,63.4,0,0
鹰潭,21.5,较低风险,63.3,63.2,0,0
邵阳,21.4,较低风险,63.0,62.9,0,0
娄底,21.4,较低风险,62.9,62.8,0,0
怒江傈僳族自治州,21.4,较低风险,62.9,62.9,0,0
南平,21.4,较低风险,63.0,62.9,0,0
黔东南苗族侗族自治州,21.4,较低风险,62.9,62.8,0,0
遵义,21.3,较低风险,62.7,62.6,0,0
新余,21.3,较低风险,62.7,62.6,0,0
昭通,21.3,较低风险,62.7,62.6,0,0
南昌,21.3,较低风险,62.6,62.5,0,0
迪庆藏族自治州,21.3,较低风险,62.7,62.6,0,0
宜春,21.3,较低风险,62.7,62.6,0,0
