预测时间,城市,预测AQI,预测PM25,预测PM10,预测O3,预测NO2,污染等级,预警颜色,预警提示
2026-03-25 00:00:00,七台河,48.7,28.4,39.5,94.5,24.9,优,绿色,无预警
2026-03-25 01:00:00,七台河,48.7,28.3,39.5,94.6,25.1,优,绿色,无预警
2026-03-25 02:00:00,七台河,48.7,28.4,39.5,94.6,25.0,优,绿色,无预警
2026-03-25 03:00:00,七台河,48.7,28.3,39.3,94.6,25.0,优,绿色,无预警
2026-03-25 04:00:00,七台河,48.6,28.3,39.3,94.6,25.0,优,绿色,无预警
2026-03-25 05:00:00,七台河,48.6,28.3,39.3,94.6,25.0,优,绿色,无预警
2026-03-25 06:00:00,七台河,48.6,28.3,39.3,94.6,25.1,优,绿色,无预警
2026-03-25 07:00:00,七台河,48.6,28.3,39.3,94.6,25.1,优,绿色,无预警
2026-03-25 08:00:00,七台河,48.6,28.3,39.3,94.6,25.1,优,绿色,无预警
2026-03-25 09:00:00,七台河,48.7,28.3,39.3,94.6,25.1,优,绿色,无预警
2026-03-25 10:00:00,七台河,48.7,28.3,39.3,94.6,25.1,优,绿色,无预警
2026-03-25 11:00:00,七台河,48.7,28.3,39.3,94.6,25.1,优,绿色,无预警
2026-03-25 12:00:00,七台河,48.7,28.3,39.3,94.6,25.1,优,绿色,无预警
2026-03-25 13:00:00,七台河,48.7,28.3,39.3,94.6,25.1,优,绿色,无预警
2026-03-25 14:00:00,七台河,48.8,28.3,39.3,94.6,25.1,优,绿色,无预警
2026-03-25 15:00:00,七台河,48.8,28.3,39.3,94.6,25.1,优,绿色,无预警
2026-03-25 16:00:00,七台河,48.7,28.3,39.3,94.6,25.1,优,绿色,无预警
2026-03-25 17:00:00,七台河,48.7,28.3,39.3,94.6,25.1,优,绿色,无预警
2026-03-25 18:00:00,七台河,48.7,28.3,39.4,94.6,25.1,优,绿色,无预警
2026-03-25 19:00:00,七台河,48.7,28.3,39.3,94.6,25.0,优,绿色,无预警
2026-03-25 20:00:00,七台河,48.7,28.3,39.3,94.6,25.0,优,绿色,无预警
2026-03-25 21:00:00,七台河,48.7,28.3,39.3,94.6,25.0,优,绿色,无预警
2026-03-25 22:00:00,七台河,48.7,28.3,39.3,94.6,25.0,优,绿色,无预警
2026-03-25 23:00:00,七台河,48.7,28.3,39.3,94.8,25.0,优,绿色,无预警
2026-03-25 00:00:00,三亚,68.5,41.1,55.9,95.3,24.9,良,黄色,无预警
2026-03-25 01:00:00,三亚,68.5,41.1,55.8,95.2,24.9,良,黄色,无预警
2026-03-25 02:00:00,三亚,68.4,41.1,55.8,95.5,25.0,良,黄色,无预警
2026-03-25 03:00:00,三亚,68.4,41.1,55.8,95.5,25.0,良,黄色,无预警
2026-03-25 04:00:00,三亚,68.4,41.1,55.8,95.0,25.0,良,黄色,无预警
2026-03-25 05:00:00,三亚,68.4,41.1,55.8,95.0,25.0,良,黄色,无预警
2026-03-25 06:00:00,三亚,68.4,41.1,55.8,95.0,25.1,良,黄色,无预警
2026-03-25 07:00:00,三亚,68.4,41.1,55.8,95.0,25.1,良,黄色,无预警
2026-03-25 08:00:00,三亚,68.4,41.1,55.8,95.0,25.1,良,黄色,无预警
2026-03-25 09:00:00,三亚,68.4,41.1,55.8,95.0,25.2,良,黄色,无预警
2026-03-25 10:00:00,三亚,68.4,41.1,55.8,95.0,25.2,良,黄色,无预警
2026-03-25 11:00:00,三亚,68.4,41.1,55.8,94.5,25.2,良,黄色,无预警
