城市,日期,平均AQI,峰值AQI,污染等级,预警颜色,预警提示
七台河,2026-03-25,48.7,48.8,优,绿色,无预警
七台河,2026-03-26,48.7,48.8,优,绿色,无预警
七台河,2026-03-27,48.7,48.8,优,绿色,无预警
七台河,2026-03-28,48.7,48.8,优,绿色,无预警
七台河,2026-03-29,48.7,48.8,优,绿色,无预警
七台河,2026-03-30,48.7,48.8,优,绿色,无预警
七台河,2026-03-31,48.7,48.8,优,绿色,无预警
三亚,2026-03-25,68.4,68.5,良,黄色,无预警
三亚,2026-03-26,68.4,68.5,良,黄色,无预警
三亚,2026-03-27,68.4,68.5,良,黄色,无预警
三亚,2026-03-28,68.4,68.5,良,黄色,无预警
三亚,2026-03-29,68.4,68.5,良,黄色,无预警
三亚,2026-03-30,68.4,68.5,良,黄色,无预警
三亚,2026-03-31,68.4,68.5,良,黄色,无预警
三明,2026-03-25,63.8,63.9,良,黄色,无预警
三明,2026-03-26,63.8,63.9,良,黄色,无预警
三明,2026-03-27,63.8,63.9,良,黄色,无预警
三明,2026-03-28,63.8,63.9,良,黄色,无预警
三明,2026-03-29,63.8,63.9,良,黄色,无预警
三明,2026-03-30,63.8,63.9,良,黄色,无预警
三明,2026-03-31,63.8,63.9,良,黄色,无预警
三沙,2026-03-25,70.6,70.7,良,黄色,无预警
三沙,2026-03-26,70.6,70.6,良,黄色,无预警
三沙,2026-03-27,70.6,70.6,良,黄色,无预警
三沙,2026-03-28,70.6,70.6,良,黄色,无预警
三沙,2026-03-29,70.6,70.6,良,黄色,无预警
三沙,2026-03-30,70.6,70.6,良,黄色,无预警
三沙,2026-03-31,70.6,70.6,良,黄色,无预警
三门峡,2026-03-25,57.9,57.9,良,黄色,无预警
三门峡,2026-03-26,57.8,57.9,良,黄色,无预警
三门峡,2026-03-27,57.8,57.9,良,黄色,无预警
三门峡,2026-03-28,57.8,57.9,良,黄色,无预警
三门峡,2026-03-29,57.8,57.9,良,黄色,无预警
三门峡,2026-03-30,57.8,57.9,良,黄色,无预警
三门峡,2026-03-31,57.8,57.9,良,黄色,无预警
上海,2026-03-25,59.0,59.1,良,黄色,无预警
上海,2026-03-26,59.0,59.1,良,黄色,无预警
上海,2026-03-27,59.0,59.1,良,黄色,无预警
上海,2026-03-28,59.0,59.1,良,黄色,无预警
上海,2026-03-29,59.0,59.1,良,黄色,无预警
