城市,特征,重要性,更新时间
七台河,湿度,0.6862,2026-04-15 13:41:29
七台河,温度,0.6624,2026-04-15 13:41:29
七台河,风速,0.6414,2026-04-15 13:41:29
七台河,AQI_roll_mean_3,0.4986,2026-04-15 13:41:29
七台河,小时,0.4228,2026-04-15 13:41:29
七台河,AQI_lag_1,0.4089,2026-04-15 13:41:29
七台河,降水量,0.4008,2026-04-15 13:41:29
七台河,AQI_lag_2,0.3981,2026-04-15 13:41:29
三亚,湿度,0.6794,2026-04-15 13:41:29
三亚,温度,0.6543,2026-04-15 13:41:29
三亚,风速,0.5659,2026-04-15 13:41:29
三亚,AQI_roll_mean_3,0.5027,2026-04-15 13:41:29
三亚,AQI_lag_1,0.4667,2026-04-15 13:41:29
三亚,AQI_lag_2,0.4067,2026-04-15 13:41:29
三亚,小时,0.3508,2026-04-15 13:41:29
三亚,降水量,0.0638,2026-04-15 13:41:29
三明,湿度,0.6605,2026-04-15 13:41:29
三明,温度,0.6329,2026-04-15 13:41:29
三明,风速,0.5199,2026-04-15 13:41:29
三明,AQI_roll_mean_3,0.4614,2026-04-15 13:41:29
三明,小时,0.3983,2026-04-15 13:41:29
三明,AQI_lag_1,0.3462,2026-04-15 13:41:29
三明,AQI_lag_2,0.3207,2026-04-15 13:41:29
三明,降水量,0.0757,2026-04-15 13:41:29
三沙,风速,0.6067,2026-04-15 13:41:29
三沙,湿度,0.5826,2026-04-15 13:41:29
三沙,温度,0.5646,2026-04-15 13:41:29
三沙,AQI_roll_mean_3,0.3726,2026-04-15 13:41:29
三沙,AQI_lag_1,0.3345,2026-04-15 13:41:29
三沙,小时,0.3085,2026-04-15 13:41:29
三沙,AQI_lag_2,0.2534,2026-04-15 13:41:29
三沙,降水量,0.0588,2026-04-15 13:41:29
三门峡,湿度,0.7052,2026-04-15 13:41:29
三门峡,温度,0.6766,2026-04-15 13:41:29
三门峡,风速,0.549,2026-04-15 13:41:29
三门峡,AQI_lag_1,0.4865,2026-04-15 13:41:29
三门峡,AQI_roll_mean_3,0.4817,2026-04-15 13:41:29
三门峡,AQI_lag_2,0.3837,2026-04-15 13:41:29
三门峡,小时,0.3826,2026-04-15 13:41:29
三门峡,工作日,0.0491,2026-04-15 13:41:29
上海,湿度,0.6853,2026-04-15 13:41:29
上海,温度,0.654,2026-04-15 13:41:29
上海,风速,0.5658,2026-04-15 13:41:29
上海,AQI_roll_mean_3,0.4473,2026-04-15 13:41:29
上海,AQI_lag_1,0.375,2026-04-15 13:41:29
上海,小时,0.3682,2026-04-15 13:41:29
上海,AQI_lag_2,0.3322,2026-04-15 13:41:29
上海,气压,0.0789,2026-04-15 13:41:29
上饶,湿度,0.7018,2026-04-15 13:41:29
上饶,温度,0.6703,2026-04-15 13:41:29
上饶,风速,0.5654,2026-04-15 13:41:29
上饶,AQI_roll_mean_3,0.4808,2026-04-15 13:41:29
上饶,小时,0.4312,2026-04-15 13:41:29
上饶,AQI_lag_2,0.3991,2026-04-15 13:41:29
上饶,AQI_lag_1,0.3971,2026-04-15 13:41:29
上饶,工作日,0.077,2026-04-15 13:41:29
东莞,湿度,0.6624,2026-04-15 13:41:29
东莞,温度,0.6337,2026-04-15 13:41:29
东莞,风速,0.5769,2026-04-15 13:41:29
东莞,AQI_roll_mean_3,0.4283,2026-04-15 13:41:29
东莞,AQI_lag_2,0.4004,2026-04-15 13:41:29
东莞,小时,0.3916,2026-04-15 13:41:29
东莞,AQI_lag_1,0.3787,2026-04-15 13:41:29
东莞,气压,0.0686,2026-04-15 13:41:29
东营,湿度,0.6828,2026-04-15 13:41:29
东营,温度,0.6447,2026-04-15 13:41:29
东营,风速,0.5494,2026-04-15 13:41:29
东营,AQI_roll_mean_3,0.4808,2026-04-15 13:41:29
东营,AQI_lag_2,0.3956,2026-04-15 13:41:29
东营,小时,0.3891,2026-04-15 13:41:29
东营,AQI_lag_1,0.3692,2026-04-15 13:41:29
东营,降水量,0.1983,2026-04-15 13:41:29
中卫,湿度,0.6345,2026-04-15 13:41:29
中卫,温度,0.6094,2026-04-15 13:41:29
中卫,风速,0.56,2026-04-15 13:41:29
中卫,AQI_roll_mean_3,0.399,2026-04-15 13:41:29
中卫,小时,0.3438,2026-04-15 13:41:29
中卫,AQI_lag_1,0.3069,2026-04-15 13:41:29
中卫,AQI_lag_2,0.2521,2026-04-15 13:41:29
中卫,降水量,0.1531,2026-04-15 13:41:29
中山,湿度,0.6468,2026-04-15 13:41:29
中山,温度,0.6176,2026-04-15 13:41:29
中山,风速,0.5588,2026-04-15 13:41:29
中山,AQI_lag_1,0.4262,2026-04-15 13:41:29
中山,AQI_roll_mean_3,0.4214,2026-04-15 13:41:29
中山,小时,0.3261,2026-04-15 13:41:29
中山,AQI_lag_2,0.3197,2026-04-15 13:41:29
中山,气压,0.0883,2026-04-15 13:41:29
临夏回族自治州,湿度,0.6904,2026-04-15 13:41:29
临夏回族自治州,温度,0.6521,2026-04-15 13:41:29
临夏回族自治州,风速,0.5654,2026-04-15 13:41:29
